instrumentToken|instrumentName|name|lastPrice|expiry|strike|tickSize|lotSize|instrumentType|segment|exchange|isin|multiplier|exchangeToken|OptionType
9516|20MICRONS|20 Microns Ltd|62.95|0|0|0.050000|1|EQ|CASH|NSE|INE144J01027|1|16921|-
891|3MINDIA|3M India Ltd|25929.5|0|0|0.050000|1|EQ|CASH|NSE|INE470A01017|1|474|-
607|3PLAND|3P Land Holdings Ltd|13.85|0|0|0.050000|1|EQ|CASH|NSE|INE105C01023|1|2595|-
13140|5PAISA|5Paisa Capital Ltd|517.35|0|0|0.050000|1|EQ|CASH|NSE|INE618L01018|1|445|-
5653|63MOONS|63 Moons Technologies Ltd|105.75|0|0|0.050000|1|EQ|CASH|NSE|INE111B01023|1|11868|-
10586|A2ZINFRA|A2Z Infra Engineering Ltd|4.95|0|0|0.050000|1|EQ|CASH|NSE|INE619I01012|1|20906|-
94320|AAKASH|Aakash Exploration Services Ltd|206.95|0|0|0.050000|1|EQ|CASH|NSE|INE087Z01016|1|235|-
16680|AREYDRG|Aarey Drugs & Pharmaceuticals Ltd|36.6|0|0|0.050000|1|EQ|CASH|NSE|INE198H01019|1|5245|-
15947|AARON|Aaron Industries Ltd|112.95|0|0|0.050000|1|EQ|CASH|NSE|INE721Z01010|1|1030|-
717|AARTIDRUGS|Aarti Drugs Ltd|624.7|0|0|0.050000|1|EQ|CASH|NSE|INE767A01016|1|4481|-
411|AARTIIND|Aarti Industries Ltd|1109.25|0|0|0.050000|1|EQ|CASH|NSE|INE769A01020|1|7|-
27206|AARTISURF|Aarti Surfactants Ltd|1459.6|0|0|0.050000|1|EQ|CASH|NSE|INE09EO01013|1|19233|-
4968|AARVEEDEN|Aarvee Denims & Exports Ltd|26.1|0|0|0.050000|1|EQ|CASH|NSE|INE273D01019|1|13771|-
5038|AARVI|Aarvi Encon Ltd|63.95|0|0|0.050000|1|EQ|CASH|NSE|INE754X01016|1|19073|-
